1	0	0
0.166	0.986	0
-0.110	0.664	0.740
0.901	-0.419	-0.110
-0.169	-0.601	0.781
-0.815	-0.386	0.433
0.656	0.366	0.660
0.582	0.800	0.143
0.900	0.259	0.350
0.693	-0.698	0.178
0.357	-0.924	-0.140
0.543	-0.488	-0.683
-0.525	-0.396	0.753
-0.639	0.689	0.341
-0.330	-0.013	-0.944
-0.524	-0.783	0.335
0.609	-0.065	-0.791
0.220	-0.223	-0.947
-0.004	-0.910	-0.415
-0.511	0.627	-0.589
0.414	0.737	0.535
-0.679	0.139	-0.721
0.884	-0.296	0.362
0.262	0.432	0.863
0.088	0.185	-0.979
0.294	-0.907	0.302
0.887	-0.089	-0.453
0.257	-0.443	0.859
0.086	0.867	-0.491
0.863	0.504	-0.025
