1	0	0
1	-1.404	0
1	-1.735	0.83274
1	0.43529	-0.11025
1	1.8449	0.89644
1	2.6993	0.44765
1	-0.50891	0.72087
1	-0.94185	0.14355
1	-0.28021	0.35765
1	0.78899	0.17903
1	1.2021	-0.1404
1	0.7321	-0.7521
1	2.4954	0.85292
1	-2.3186	0.3481
1	3.1022	-1.2343
1	2.1606	0.34162
1	0.10633	-0.91193
1	0.79217	-1.2513
1	1.5752	-0.42787
1	-2.2546	-0.62939
1	-1.059	0.56426
1	-2.9397	-0.80514
1	0.32311	0.37039
1	-1.0256	1.0411
1	-1.1268	-1.3645
1	1.2573	0.30674
1	0.1	-0.47015
1	1.0451	1.0332
1	-1.4719	-0.51319
1	-0.52858	-0.02501
